file,time,direction,idx,hex,len,kind,cmd,section_id,section,band_zero,band,freq_hz,q,type_sign,eq_type,gain_db,target,checksum_ok,payload
17_SUB_EQ_B1_GAIN_0_TO_1,03.07.2026 22:05:49,Down,83,AA 09 03 08 00 35 00 0A 00 07 00 A6,12,EQ_WRITE,3,8.0,Subwoofer,0.0,1.0,53.0,1.0,0.0,P,0.7,0.0,True,
17_SUB_EQ_B1_GAIN_0_TO_1,03.07.2026 22:05:49,Down,91,AA 09 03 08 00 35 00 0A 00 08 00 A5,12,EQ_WRITE,3,8.0,Subwoofer,0.0,1.0,53.0,1.0,0.0,P,0.8,0.0,True,
17_SUB_EQ_B1_GAIN_0_TO_1,03.07.2026 22:05:50,Down,99,AA 09 03 08 00 35 00 0A 00 09 00 A4,12,EQ_WRITE,3,8.0,Subwoofer,0.0,1.0,53.0,1.0,0.0,P,0.9,0.0,True,
17_SUB_EQ_B1_GAIN_0_TO_1,03.07.2026 22:05:50,Down,107,AA 09 03 08 00 35 00 0A 00 0A 00 A3,12,EQ_WRITE,3,8.0,Subwoofer,0.0,1.0,53.0,1.0,0.0,P,1.0,0.0,True,
16_CENTER_EQ_B1_GAIN_6_TO_7,03.07.2026 22:04:54,Down,27,AA 09 03 07 00 91 00 07 10 3D 00 08,12,EQ_WRITE,3,7.0,Center,0.0,1.0,145.0,0.7,16.0,LS,6.1,0.0,True,
16_CENTER_EQ_B1_GAIN_6_TO_7,03.07.2026 22:04:54,Down,39,AA 09 03 07 00 91 00 07 10 3E 00 07,12,EQ_WRITE,3,7.0,Center,0.0,1.0,145.0,0.7,16.0,LS,6.2,0.0,True,
16_CENTER_EQ_B1_GAIN_6_TO_7,03.07.2026 22:04:54,Down,47,AA 09 03 07 00 91 00 07 10 3F 00 06,12,EQ_WRITE,3,7.0,Center,0.0,1.0,145.0,0.7,16.0,LS,6.3,0.0,True,
16_CENTER_EQ_B1_GAIN_6_TO_7,03.07.2026 22:04:54,Down,55,AA 09 03 07 00 91 00 07 10 40 00 05,12,EQ_WRITE,3,7.0,Center,0.0,1.0,145.0,0.7,16.0,LS,6.4,0.0,True,
16_CENTER_EQ_B1_GAIN_6_TO_7,03.07.2026 22:04:54,Down,67,AA 09 03 07 00 91 00 07 10 41 00 04,12,EQ_WRITE,3,7.0,Center,0.0,1.0,145.0,0.7,16.0,LS,6.5,0.0,True,
16_CENTER_EQ_B1_GAIN_6_TO_7,03.07.2026 22:04:55,Down,75,AA 09 03 07 00 91 00 07 10 42 00 03,12,EQ_WRITE,3,7.0,Center,0.0,1.0,145.0,0.7,16.0,LS,6.6,0.0,True,
16_CENTER_EQ_B1_GAIN_6_TO_7,03.07.2026 22:04:55,Down,83,AA 09 03 07 00 91 00 07 10 43 00 02,12,EQ_WRITE,3,7.0,Center,0.0,1.0,145.0,0.7,16.0,LS,6.7,0.0,True,
16_CENTER_EQ_B1_GAIN_6_TO_7,03.07.2026 22:04:55,Down,91,AA 09 03 07 00 91 00 07 10 44 00 01,12,EQ_WRITE,3,7.0,Center,0.0,1.0,145.0,0.7,16.0,LS,6.8,0.0,True,
16_CENTER_EQ_B1_GAIN_6_TO_7,03.07.2026 22:04:55,Down,99,AA 09 03 07 00 91 00 07 10 45 00 00,12,EQ_WRITE,3,7.0,Center,0.0,1.0,145.0,0.7,16.0,LS,6.9,0.0,True,
16_CENTER_EQ_B1_GAIN_6_TO_7,03.07.2026 22:04:56,Down,107,AA 09 03 07 00 91 00 07 10 46 00 FF,12,EQ_WRITE,3,7.0,Center,0.0,1.0,145.0,0.7,16.0,LS,7.0,0.0,True,
15_SURROUND_EQ_B1_GAIN_7_TO_6,03.07.2026 22:04:08,Down,27,AA 09 03 05 00 8F 00 05 10 45 00 06,12,EQ_WRITE,3,5.0,Surround,0.0,1.0,143.0,0.5,16.0,LS,6.9,0.0,True,
15_SURROUND_EQ_B1_GAIN_7_TO_6,03.07.2026 22:04:08,Down,35,AA 09 03 05 00 8F 00 05 10 44 00 07,12,EQ_WRITE,3,5.0,Surround,0.0,1.0,143.0,0.5,16.0,LS,6.8,0.0,True,
